'Cold-shock' DNA-binding domain	PF00313
Cytochrome c bacterial	PF11783
Cytochrome c oxidase assembly protein COX16	PF14138
Cytochrome c oxidase assembly protein CtaG/Cox11	PF04442
Cytochrome c oxidase assembly protein PET191	PF10203
Cytochrome c oxidase biogenesis protein Cmc1 like	PF08583
Cytochrome c oxidase caa3 assembly factor (Caa3_CtaG)	PF09678
Cytochrome c oxidase subunit III	PF00510
Cytochrome c oxidase subunit IIa family	PF08113
Cytochrome c oxidase subunit IV	PF02936
Cytochrome c oxidase subunit IV	PF12270
Cytochrome c oxidase subunit VII	PF02238
Cytochrome c oxidase subunit VIIc	PF02935
Cytochrome c oxidase subunit VIa	PF02046
Cytochrome c oxidase subunit VIc	PF02937
Cytochrome c oxidase subunit Va	PF02284
Cytochrome c oxidase subunit Vb	PF01215
Cytochrome c-550 domain	PF14495
Cytochrome c-type biogenesis protein CcmF C-terminal	PF16327
Cytochrome c/c1 heme lyase	PF01265
Cytochrome c3	PF14537
Cytochrome c552	PF02335
Cytochrome c554 and c-prime	PF13435
Cytochrome c7 and related cytochrome c	PF14522
Cytochrome domain of cellobiose dehydrogenase	PF16010
Cytochrome oxidase assembly protein	PF02628
Cytochrome oxidase c assembly	PF14880
Cytochrome oxidase c subunit VIII	PF02285
Cytochrome oxidase c subunit VIb	PF02297
Cytochrome oxidase complex assembly protein 1	PF08695
Cytochrome oxidase maturation protein cbb3-type	PF03597
Cytochrome-c551	PF10643
Cytochrome_B	PF00033
Cytochrome_C554	PF13435
Cytochrome_C7	PF14522
Cytochrome_CBB3	PF13442
Cytochrome_P460	PF16694
Cytochrome_cB	PF11783
Cytokin-bind	PF09265
Cytokin_check_N	PF10407
Cytokine interleukin-12p40 C-terminus	PF10420
Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis	PF05093
Cytokine-like protein 1	PF15153
Cytokinin dehydrogenase 1, FAD and cytokinin binding	PF09265
Cytolethal distending toxin A/C domain	PF03498
Cytomega_TRL10	PF06084
Cytomega_UL20A	PF05984
Cytomega_UL84	PF06284
Cytomega_US3	PF05963
Cytomega_gL	PF01801
Cytomegalovirus IE1 protein	PF07340
Cytomegalovirus TRL10 protein	PF06084
Cytomegalovirus UL20A protein	PF05984
Cytomegalovirus UL84 protein	PF06284
Cytomegalovirus US3 protein	PF05963
Cytomegalovirus glycoprotein L	PF01801
Cytomegalovirus glycoprotein N terminal	PF12522
Cytoplasmic Fragile-X interacting family	PF05994
Cytoplasmic N-terminal domain of rhomboid serine protease	PF12122
Cytoplasmic activation/proliferation-associated protein-1 C term	PF12287
Cytoplasmic domain of voltage-gated Na+ ion channel	PF11933
Cytoplasmic dynein 1 intermediate chain 2	PF11540
Cytoplasmic polyadenylation element-binding protein 1 N-terminus	PF16368
Cytoplasmic polyadenylation element-binding protein ZZ domain	PF16366
Cytoplasmic repetitive antigen (CRA) like repeat	PF07046
Cytoplasmic tRNA 2-thiolation protein 2	PF10288
Cytosine specific DNA methyltransferase replication foci domain	PF12047
Cytoskeletal adhesion	PF14186
Cytoskeletal-regulatory complex EF hand	PF12763
Cytoskeleton-associated protein 2 C-terminus	PF15297
Cytosol aminopeptidase family, N-terminal domain	PF02789
Cytosol aminopeptidase family, catalytic domain	PF00883
Cytosolic domain of 10TM putative phosphate transporter	PF14703
Cytosolic motility protein	PF12150
Cytotoxic	PF09000
Cytotoxic	PF09000
CzcE	PF16986
D domain of beta-TrCP	PF12125
D-Ala-D-Ala carboxypeptidase 3 (S13) family	PF02113
D-Ala-teichoic acid biosynthesis protein	PF12459
D-Lysine 5,6-aminomutase TIM-barrel domain of alpha subunit	PF09043
D-Tyr-tRNA(Tyr) deacylase	PF02580
D-ala D-ala ligase C-terminus	PF07478
D-ala D-ala ligase N-terminus	PF01820
D-ala-D-ala dipeptidase	PF01427
D-alanyl-D-alanine carboxypeptidase	PF00768
D-alanyl-D-alanine carboxypeptidase	PF02557
D-alanyl-D-alanine carboxypeptidase	PF13539
D-amino acid oxidase activator	PF15199
D-aminoacyl-tRNA deacylase	PF04414
D-aminopeptidase	PF04951
D-aminopeptidase, domain B	PF07930
D-arabinono-1,4-lactone oxidase	PF04030
D-galactarate dehydratase / Altronate hydrolase, C terminus	PF04295
D-glucuronyl C5-epimerase C-terminus	PF06662
D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	PF02826
D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	PF00389
D-lactate dehydrogenase, membrane binding	PF09330
D-mannonate dehydratase (UxuA)	PF03786
D-mannose binding lectin	PF01453
D-ornithine 4,5-aminomutase alpha-subunit	PF16552
D-ser_dehydrat	PF14031
D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase	PF03894
D1 dopamine receptor-interacting protein (calcyon)	PF06387
D12 class N6 adenine-specific DNA methyltransferase	PF02086
D123	PF07065
D123	PF07065
D5 N terminal like	PF08706
D5_N	PF08706
DAD	PF02109
DAD family	PF02109
DAG1	PF05454
DAGAT	PF03982
DAGK_acc	PF00609
DAGK_cat	PF00781
DAGK_prokar	PF01219
DAG_kinase_N	PF14513
DAHP synthetase I family	PF00793
DAHP_synth_1	PF00793
DAHP_synth_2	PF01474
DAK2 domain	PF02734
DALR anticodon binding domain	PF05746
DALR domain	PF09190
DALR_1	PF05746
DALR_2	PF09190
DAN	PF03045
DAN domain	PF03045
DAO	PF01266
DAOA	PF15199
DAO_C	PF16901
DAP	PF15228
DAP10	PF07213
DAP10 membrane protein	PF07213
DAP3	PF10236
DAPDH_C	PF16654
DAP_B	PF07930
DAP_epimerase	PF01678
DARPP-32	PF05395
DASH complex subunit Ask1	PF08655
DASH complex subunit Dad1	PF08649
DASH complex subunit Dad2	PF08654
DASH complex subunit Dad3	PF08656
DASH complex subunit Dad4	PF08650
DASH complex subunit Dam1	PF08653
DASH complex subunit Duo1	PF08651
DASH complex subunit Hsk3 like	PF08227
DASH complex subunit Spc34	PF08657
DASH_Ask1	PF08655
DASH_Dad1	PF08649
DASH_Dad2	PF08654
DASH_Dad3	PF08656
DASH_Dad4	PF08650
DASH_Dam1	PF08653
DASH_Duo1	PF08651
DASH_Hsk3	PF08227
DASH_Spc19	PF08287
DASH_Spc34	PF08657
DAZ associated protein 2 (DAZAP2)	PF11029
DAZAP2	PF11029
DB	PF01682
DB module	PF01682
DBB	PF14545
DBC1	PF14443
DBC1	PF14443
DBD_Tnp_Hermes	PF10683
DBD_Tnp_Mut	PF03108
DBF zinc finger	PF07535
DBINO	PF13892
DBI_PRT	PF02277
DBP	PF12361
DBP10CT	PF08147
DBP10CT (NUC160) domain	PF08147
DBR1	PF05011
DC-EC Repeat	PF07337
DC-STAMP-like protein	PF07782
DCA16	PF15349
DCAF15_WD40	PF14939
DCAF17	PF15802
DCB	PF16213
DCD	PF06559
DCP1	PF06058
DCP2	PF05026
DCR	PF14047
DCX	PF03607
DC_STAMP	PF07782
DDA1	PF10172
DDB1- and CUL4-associated factor 16	PF15349
DDB1- and CUL4-associated factor 17	PF15802
DDB1-and CUL4-substrate receptor 15, WD repeat	PF14939
DDDD	PF10161
DDE domain	PF13610
DDE superfamily endonuclease	PF03184
DDE superfamily endonuclease	PF13358
DDE superfamily endonuclease	PF13359
DDE superfamily endonuclease	PF13546
DDE_1	PF03184
DDE_2	PF02914
DDE_3	PF13358
DDE_5	PF13546
DDE_Tnp_1	PF01609
DDE_Tnp_1-associated	PF13808
DDE_Tnp_1-like zinc-ribbon	PF13842
DDE_Tnp_1_2	PF13586
DDE_Tnp_1_3	PF13612
DDE_Tnp_1_4	PF13701
DDE_Tnp_1_5	PF13737
DDE_Tnp_1_6	PF13751
DDE_Tnp_1_7	PF13843
DDE_Tnp_1_assoc	PF13808
DDE_Tnp_2	PF04693
DDE_Tnp_4	PF13359
DDE_Tnp_IS1	PF03400
DDE_Tnp_IS1595	PF12762
DDE_Tnp_IS240	PF13610
DDE_Tnp_IS66	PF03050
DDE_Tnp_IS66_C	PF13817
DDE_Tnp_ISAZ013	PF07592
DDE_Tnp_ISL3	PF01610
DDE_Tnp_Tn3	PF01526
DDHD	PF02862
DDHD domain	PF02862
DDOST_48kD	PF03345
DDR	PF08841
DDRGK	PF09756
DDRGK domain	PF09756
DDT	PF02791
DDT domain	PF02791
DD_K	PF12121
DEAD	PF00270
DEAD/DEAH box helicase	PF00270
DEAD/H associated	PF08494
DEAD_2	PF06733
DEAD_2	PF06733
DEAD_assoc	PF08494
DEADboxA	PF12343
DEC-1 protein, N-terminal region	PF04625
DEC-1_C	PF04626
DEC-1_N	PF04625
DEC1	PF15859
DED	PF01335
DEDD_Tnp_IS110	PF01548
DEK C terminal domain	PF08766
DEK_C	PF08766
DELLA	PF12041
DENN	PF02141
DENN (AEX-3) domain	PF02141
DEP	PF00610
DEPP	PF15343
DER1	PF04511
DERM	PF14704
DExH-box splicing factor binding site	PF12656
DFF-C	PF09033
DFF40	PF09230
DFP	PF04127
DFRP_C	PF16543
DGC	PF08859
DGC domain	PF08859
DGCR6	PF07324
DGF-1_4	PF11024
DGF-1_5	PF11038
DGF-1_C	PF11040
DGOK	PF05035
DHBP_synthase	PF00926
DHC	PF09626
DHC_N1	PF08385
DHC_N2	PF08393
DHDPS	PF00701
DHFR_1	PF00186
DHFR_2	PF06442
DHH	PF01368
DHH family	PF01368
DHHA1	PF02272
DHHA1 domain	PF02272
DHHA2	PF02833
DHHA2 domain	PF02833
DHHC palmitoyltransferase	PF01529
DHHW	PF14286
DHHW protein	PF14286
DHNA	PF04038
DHODB_Fe-S_bind	PF10418
DHOR	PF06537
DHO_dh	PF01180
DHOase	PF12890
DHQS	PF01959
DHQ_synthase	PF01761
DHR-2	PF06920
DHquinase_I	PF01487
DHquinase_II	PF01220
DICT	PF10069
DIE2/ALG10 family	PF04922
DIE2_ALG10	PF04922
DIL	PF01843
DIL domain	PF01843
DIM	PF08194
DIM protein	PF08194
DIM1	PF02966
DIMCO_N	PF16844
DIOX_N	PF14226
DIPSY	PF11763
DIRP	PF06584
DIRP	PF06584
DIT1_PvcA	PF05141
DIX	PF00778
DIX domain	PF00778
DJ-1/PfpI family	PF01965
DJ-1_PfpI	PF01965
DKCLD	PF08068
DKCLD (NUC011) domain	PF08068
DKNYY	PF13644
DKNYY family	PF13644
DLD	PF14878
DLEU7	PF15760
DLH	PF01738
DLIC	PF05783
DLL_N	PF12413
DM	PF00751
DM DNA binding domain	PF00751
DM13	PF10517
DM4/DM12 family	PF07841
DM4_12	PF07841
DMA	PF03474
DMAP1	PF05499
DMAP1-binding Domain	PF06464
DMAP1_like	PF17024
DMAP_binding	PF06464
DMP1	PF07263
DMP12	PF16779
DMPK coiled coil domain like	PF08826
DMPK_coil	PF08826
DMRL_synthase	PF00885
DMRT-like	PF15791
DMRTA motif	PF03474
DMSO reductase anchor subunit (DmsC)	PF04976
DMSP_lyase	PF16867
DMT_6	PF04342
DMT_YdcZ	PF04657
DNA / pantothenate metabolism flavoprotein	PF04127
DNA Fragmentation factor 45kDa, C terminal domain	PF09033
DNA N-6-adenine-methyltransferase (Dam)	PF05869
DNA Polymerase alpha zinc finger	PF08996
DNA alkylation repair enzyme	PF08713
DNA alpha-glucosyltransferase	PF11440
DNA binding domain of the motility gene repressor (MogR)	PF12181
DNA binding domain of tn916 integrase	PF02920
DNA binding protein S1FA	PF04689
DNA circularisation protein N-terminus	PF07157
DNA damage checkpoint protein	PF09798
DNA damage repair protein Nbs1	PF08599
DNA directed RNA polymerase, 7 kDa subunit	PF03604
DNA double-strand break repair and V(D)J recombination protein XRCC4	PF06632
DNA fragmentation factor 40 kDa	PF09230
DNA gyrase B	PF00204
DNA gyrase B subunit, carboxyl terminus	PF00986
DNA gyrase C-terminal domain, beta-propeller	PF03989
DNA gyrase/topoisomerase IV, subunit A	PF00521
DNA helicase IV / RNA helicase N terminal	PF12462
DNA helicase TraI	PF07057
DNA ligase 3 BRCT domain	PF16759
DNA ligase IV	PF11411
DNA ligase N terminus	PF04675
DNA ligase OB-like domain	PF14743
DNA methylase	PF01555
DNA methyltransferase 1-associated protein 1 (DMAP1)	PF05499
DNA mimic ocr	PF08684
DNA mismatch endonuclease Vsr	PF03852
DNA mismatch repair enzyme MutH	PF02976
DNA mismatch repair protein Mlh1 C-terminus	PF16413
DNA mismatch repair protein, C-terminal domain	PF01119
DNA packaging protein	PF11123
DNA packaging protein FI	PF14000
DNA photolyase	PF00875
DNA polymerase (viral) C-terminal domain	PF00336
DNA polymerase (viral) N-terminal domain	PF00242
DNA polymerase II large subunit DP2	PF03833
DNA polymerase III beta subunit, C-terminal domain	PF02768
DNA polymerase III beta subunit, N-terminal domain	PF00712
DNA polymerase III beta subunit, central domain	PF02767
DNA polymerase III chi subunit, HolC	PF04364
DNA polymerase III gamma and tau subunits C terminal	PF12362
DNA polymerase III polC-type N-terminus I	PF14480
DNA polymerase III polC-type N-terminus II	PF11490
DNA polymerase III psi subunit	PF03603
DNA polymerase III subunits gamma and tau domain III	PF12169
DNA polymerase III subunits tau domain IV DnaB-binding	PF12168
DNA polymerase III tau subunit V interacting with alpha	PF12170
DNA polymerase III, delta subunit	PF06144
DNA polymerase III, delta subunit	PF13177
DNA polymerase III, delta subunit, C terminal	PF09115
DNA polymerase III, theta subunit	PF06440
DNA polymerase Ligase (LigD)	PF13298
DNA polymerase alpha subunit B N-terminal	PF08418
DNA polymerase alpha subunit p180 N terminal	PF12254
DNA polymerase alpha/epsilon subunit B	PF04042
DNA polymerase beta palm	PF14792
DNA polymerase beta thumb	PF14791
DNA polymerase catalytic subunit Pol	PF11590
DNA polymerase delta, subunit 4	PF04081
DNA polymerase family A	PF00476
DNA polymerase family B	PF00136
DNA polymerase family B exonuclease domain, N-terminal	PF08452
DNA polymerase family B viral insert	PF08408
DNA polymerase family B, exonuclease domain	PF03104
DNA polymerase phi	PF04931
DNA polymerase processivity factor	PF02916
DNA polymerase processivity factor (UL42)	PF02282
DNA polymerase subunit Cdc27	PF09507
DNA polymerase type B, organellar and viral	PF03175
DNA polymerases epsilon N terminal	PF12213
DNA primase DnaG DnaB-binding	PF08278
DNA primase catalytic core, N-terminal domain	PF08275
DNA primase small subunit	PF01896
DNA recombination-mediator protein A	PF02481
DNA repair REX1-B	PF14966
DNA repair metallo-beta-lactamase	PF07522
DNA repair protein REV1 C-terminal domain	PF16727
DNA repair protein endonuclease SAE2/CtIP C-terminus	PF08573
DNA repair proteins Nse5 and Nse6	PF08691
DNA replication and checkpoint protein	PF11719
DNA replication complex GINS protein SLD5 C-terminus	PF16922
DNA replication factor CDT1 like	PF08839
DNA replication factor Cdt1 C-terminal domain	PF16679
DNA replication factor Dna2	PF08696
DNA replication regulator	PF12163
DNA replication regulator SLD3	PF08639
DNA replication terminus site-binding protein (Ter protein)	PF05472
DNA topoisomerase	PF01131
DNA transporter	PF12538
DNA-J related protein	PF12339
DNA-K related protein	PF12531
DNA-binding 11 kDa phosphoprotein	PF04767
DNA-binding domain	PF13724
DNA-binding domain	PF13892
DNA-binding domain	PF14848
DNA-binding domain of Proline dehydrogenase	PF14850
DNA-binding nuclear phosphoprotein p8	PF10195
DNA-binding transcriptional regulator Cro	PF14549
DNA-dependent RNA polymerase	PF00940
DNA-directed RNA polymerase I subunit RPA34.5	PF08208
DNA-directed RNA polymerase III subunit Rpc31	PF11705
DNA-directed RNA polymerase N-terminal	PF14700
DNA-directed RNA polymerase subunit beta	PF11772
DNA-directed RNA polymerase, subunit G	PF16992
DNA-mimic protein	PF16779
DNA-packaging protein gp3	PF16677
DNA-sulfur modification-associated	PF14072
DNA/RNA non-specific endonuclease	PF01223
DNA/RNA non-specific endonuclease	PF13930
DNA/protein translocase of phage P22 injectosome	PF16928
DNAJ_related	PF12339
DNAP_B_exo_N	PF08452
DNAPolymera_Pol	PF11590
DNA_III_psi	PF03603
DNA_PPF	PF02916
DNA_Packaging	PF11053
DNA_Packaging_2	PF11123
DNA_RNApol_7kD	PF03604
DNA_alkylation	PF08713
DNA_binding protein, TFX, C-term	PF14601
DNA_binding_1	PF01035
DNA_binding_2	PF13724
DNA_circ_N	PF07157
DNA_gyraseA_C	PF03989
DNA_gyraseB	PF00204
DNA_gyraseB_C	PF00986
DNA_ligase_A_C	PF04679
DNA_ligase_A_M	PF01068
DNA_ligase_A_N	PF04675
DNA_ligase_IV	PF11411
DNA_ligase_OB	PF03120
DNA_ligase_OB_2	PF14743
DNA_ligase_ZBD	PF03119
DNA_ligase_aden	PF01653
DNA_methylase	PF00145
DNA_mis_repair	PF01119
DNA_pack_C	PF02499
DNA_pack_N	PF02500
DNA_photolyase	PF00875
DNA_pol3_a_NI	PF14480
DNA_pol3_a_NII	PF11490
DNA_pol3_alpha	PF07733
DNA_pol3_beta	PF00712
DNA_pol3_beta_2	PF02767
DNA_pol3_beta_3	PF02768
DNA_pol3_chi	PF04364
DNA_pol3_delt_C	PF14840
DNA_pol3_delta	PF06144
DNA_pol3_delta2	PF13177
DNA_pol3_gamma3	PF12169
DNA_pol3_tau_4	PF12168
DNA_pol3_tau_5	PF12170
DNA_pol3_theta	PF06440
DNA_pol_A	PF00476
DNA_pol_A_exo1	PF01612
DNA_pol_B	PF00136
DNA_pol_B_2	PF03175
DNA_pol_B_3	PF08408
DNA_pol_B_exo1	PF03104
DNA_pol_B_exo2	PF10108
DNA_pol_B_palm	PF14792
DNA_pol_B_thumb	PF14791
DNA_pol_E_B	PF04042
DNA_pol_alpha_N	PF12254
DNA_pol_delta_4	PF04081
DNA_pol_lambd_f	PF10391
DNA_pol_phi	PF04931
DNA_pol_viral_C	PF00336
DNA_pol_viral_N	PF00242
DNA_primase_S	PF01896
DNA_primase_lrg	PF04104
DNA_processg_A	PF02481
DNA_repr_REX1B	PF14966
DNA_topoisoIV	PF00521
DNApol3-delta_C	PF09115
DND1_DSRM	PF14709
DNL zinc finger	PF05180
DNMT1-RFD	PF12047
DNase-RNase	PF02577
DNase/tRNase domain of colicin-like bacteriocin	PF12639
DNase_II	PF03265
DNase_NucA_NucB	PF14040
DOCK N-terminus	PF16172
DOCK-C2	PF14429
DOCK_N	PF16172
DOG1	PF14144
DOMON	PF03351
DOMON domain	PF03351
DOPA_dioxygen	PF08883
DOR	PF14839
DOR family	PF14839
DOT1	PF08123
DOmain of unknown function (DUF4883)	PF16224
DP	PF08781
DPBB_1	PF03330
DPCD	PF14913
DPCD protein family	PF14913
DPM2	PF07297
DPM3	PF08285
DPPIV_N	PF00930
DPRP	PF04244
DRAT	PF07357
DRE2_N	PF16803
DREPP	PF05558
DREPP plasma membrane polypeptide	PF05558
DREV	PF05219
DREV methyltransferase	PF05219
DRF Autoregulatory Domain	PF06345
DRG Family Regulatory Proteins, Tma46	PF16543
DRIM	PF07539
DRMBL	PF07522
DRTGG	PF07085
DRTGG domain	PF07085
DRY_EERY	PF09750
DS	PF01916
DSBA	PF01323
DSBA-like thioredoxin domain	PF01323
DSHCT	PF08148
DSHCT (NUC185) domain	PF08148
DSL	PF01414
DSPc	PF00782
DSPn	PF14671
DSRB	PF10781
DSS1/SEM1 family	PF05160
DSS1_SEM1	PF05160
DSX_dimer	PF08828
DTHCT	PF08070
DTHCT (NUC029) region	PF08070
DTW	PF03942
DTW domain	PF03942
DUF based on E. rectale Gene description (DUF3880)	PF12996
DUF1002	PF06207
DUF1003	PF06210
DUF1005	PF06219
DUF1007	PF06226
DUF1009	PF06230
DUF1010	PF06231
DUF1011	PF06237
DUF1013	PF06242
DUF1014	PF06244
DUF1015	PF06245
DUF1016	PF06250
DUF1018	PF06252
DUF1020	PF06255
DUF1024	PF06260
DUF1027	PF06265
DUF1028	PF06267
DUF1029	PF06269
DUF1030	PF06270
DUF1031	PF06275
DUF1033	PF06279
DUF1035	PF06281
DUF1036	PF06282
DUF1039	PF06287
DUF104	PF01954
DUF1040	PF06288
DUF1041	PF06292
DUF1043	PF06295
DUF1045	PF06299
DUF1048	PF06304
DUF1049	PF06305
DUF1052	PF06319
DUF1053	PF06327
DUF1054	PF06335
DUF1056	PF06341
DUF1057	PF06342
DUF1059	PF06348
DUF106	PF01956
DUF1062	PF06353
DUF1064	PF06356
DUF1065	PF06358
DUF1067	PF06362
DUF1068	PF06364
DUF1069	PF06370
DUF1070	PF06376
DUF1071	PF06378
DUF1072	PF06380
DUF1073	PF06381
DUF1074	PF06382
DUF1075	PF06388
DUF1076	PF06416
DUF1077	PF06417
DUF1079	PF06435
DUF108	PF01958
DUF1080	PF06439
DUF1081	PF06448
DUF1082	PF06449
DUF1084	PF06454
DUF1086	PF06461
DUF1087	PF06465
DUF1088	PF06469
DUF1090	PF06476
DUF1091	PF06477
DUF1092	PF06485
DUF1093	PF06486
DUF1096	PF06493
DUF1097	PF06496
DUF1098	PF06497
DUF11	PF01345
DUF1100	PF06500
DUF1101	PF06503
DUF1102	PF06510
DUF1103	PF06513
DUF1104	PF06518
DUF1106	PF06523
DUF1107	PF06526
DUF1108	PF06531
DUF1109	PF06532
DUF111	PF01969
DUF1110	PF06533
DUF1115	PF06544
DUF1116	PF06545
DUF1117	PF06547
DUF1118	PF06549
DUF1120	PF06551
DUF1122	PF06557
DUF1125	PF06563
DUF1126	PF06565
DUF1127	PF06568
DUF1128	PF06569
DUF1129	PF06570
DUF1131	PF06572
DUF1132	PF06575
DUF1133	PF06576
DUF1134	PF06577
DUF1136	PF06582
DUF1137	PF06587
DUF1138	PF06592
DUF1139	PF06599
DUF1140	PF06600
DUF1143	PF06608
DUF1145	PF06611
DUF1146	PF06612
DUF1147	PF06615
DUF1148	PF06618
DUF1149	PF06619
DUF1150	PF06620
DUF1151	PF06625
DUF1152	PF06626
DUF1153	PF06627
DUF1154	PF06631
DUF1155	PF06633
DUF1156	PF06634
DUF1157	PF06636
DUF1158	PF06643
DUF116	PF01976
DUF1160	PF06648
DUF1161	PF06649
DUF1163	PF06651
DUF1168	PF06658
DUF1170	PF06663
DUF1173	PF06666
DUF1174	PF06671
DUF1175	PF06672
DUF1176	PF06674
DUF1177	PF06675
DUF1178	PF06676
DUF1179	PF06678
DUF1180	PF06679
DUF1181	PF06680
DUF1182	PF06681
DUF1184	PF06683
DUF1186	PF06685
DUF1187	PF06688
DUF1188	PF06690
DUF1189	PF06691
DUF1190	PF06693
DUF1191	PF06697
DUF1192	PF06698
DUF1194	PF06707
DUF1195	PF06708
DUF1196	PF06709
DUF1198	PF06711
DUF1199	PF06712
DUF1201	PF06716
DUF1202	PF06717
DUF1203	PF06718
DUF1204	PF06721
DUF1205	PF06722
DUF1206	PF06724
DUF1207	PF06727
DUF1211	PF06736
DUF1213	PF06740
DUF1214	PF06742
DUF1216	PF06746
DUF1217	PF06748
DUF1218	PF06749
DUF1220	PF06758
DUF1221	PF06760
DUF1223	PF06764
DUF1229	PF06797
DUF123	PF01986
DUF1230	PF06799
DUF1231	PF06802
DUF1232	PF06803
DUF1233	PF06806
DUF1235	PF06822
DUF1236	PF06823
DUF1237	PF06824
DUF1240	PF06836
DUF1241	PF06840
DUF1242	PF06842
DUF1244	PF06844
DUF1246	PF06849
DUF1247	PF06851
DUF1248	PF06852
DUF1249	PF06853
DUF1251	PF06856
DUF1254	PF06863
DUF1255	PF06865
DUF1256	PF06866
DUF1257	PF06868
DUF1258	PF06869
DUF126	PF01989
DUF1262	PF06880
DUF1263	PF06882
DUF1264	PF06884
DUF1265	PF06887
DUF1266	PF06889
DUF1269	PF06897
DUF1270	PF06900
DUF1272	PF06906
DUF1273	PF06908
DUF1275	PF06912
DUF1279	PF06916
DUF128	PF01995
DUF1280	PF06918
DUF1281	PF06924
DUF1282	PF06930
DUF1283	PF06932
DUF1284	PF06935
DUF1285	PF06938
DUF1286	PF06939
DUF1287	PF06940
DUF1289	PF06945
DUF1290	PF06947
DUF1292	PF06949
