11p Partial Monosomy Syndrome	D017624
Devic's Syndrome	D009471
Devics Syndrome	D009471
Devic Syndrome	D009471
Devitalized Teeth	D019553
Devitalized Tooth	D019553
Dew Itch	D007815
Dew Itchs	D007815
Dextrinoses, Limit	D006010
Dextrinosis, Limit	D006010
Dextrocardia	D003914
Dextrocardia, Bronchiectasis, and Sinusitis	D007619
Dextrocardias	D003914
Dextro-Looped Transposition of the Great Arteries	D014188
Dextro Looped Transposition of the Great Arteries	D014188
Diabete, Lipoatrophic	D003923
Diabetes, Bronze	D006432
Diabetes Complication	D048909
Diabetes Complications	D048909
Diabetes, Gestational	D016640
Diabetes Insipidus	D003919
Diabetes Insipidus and Mellitus with Optic Atrophy and Deafness	D014929
Diabetes Insipidus, Central	D020790
Diabetes Insipidus, Cranial Type	D020790
Diabetes Insipidus Cranial Type	D020790
Diabetes Insipidus, Diabetes Mellitus, Optic Atrophy, and Deafness	D014929
Diabetes Insipidus, Nephrogenic	D018500
Diabetes Insipidus, Neurogenic	D020790
Diabetes Insipidus, Neurohypophyseal	D020790
Diabetes Insipidus, Neurohypophyseal Type	D020790
Diabetes Insipidus, Pituitary	D020790
Diabetes Insipidus Primary Central	D020790
Diabetes Insipidus, Primary Central	D020790
Diabetes Insipidus Secondary To Vasopressin Deficiency	D020790
Diabetes, Lipoatrophic	D003923
Diabetes, Maturity-Onset	D003924
Diabetes Mellitus	D003920
Diabetes Mellitus, Adult-Onset	D003924
Diabetes Mellitus, Adult Onset	D003924
Diabetes Mellitus Complication	D048909
Diabetes Mellitus Complications	D048909
Diabetes Mellitus, Experimental	D003921
Diabetes Mellitus, Gestational	D016640
Diabetes Mellitus, Ketosis-Resistant	D003924
Diabetes Mellitus, Ketosis Resistant	D003924
Diabetes Mellitus, Lipoatrophic	D003923
Diabetes Mellitus, Maturity-Onset	D003924
Diabetes Mellitus, Maturity Onset	D003924
Diabetes Mellitus, Noninsulin-Dependent	D003924
Diabetes Mellitus, Non Insulin Dependent	D003924
Diabetes Mellitus, Non-Insulin-Dependent	D003924
Diabetes Mellitus, Noninsulin Dependent	D003924
Diabetes Mellitus, Slow-Onset	D003924
Diabetes Mellitus, Slow Onset	D003924
Diabetes Mellitus, Stable	D003924
Diabetes Mellitus, Type 1	D003922
Diabetes Mellitus Type 1.5	D000071698
Diabetes Mellitus, Type 2	D003924
Diabetes Mellitus, Type I	D003922
Diabetes Mellitus, Type II	D003924
Diabetes, Pregnancy-Induced	D016640
Diabetes, Pregnancy Induced	D016640
Diabetes-Related Complication	D048909
Diabetes-Related Complications	D048909
Diabetes Related Complications	D048909
Diabetes, Type 1	D003922
Diabetes, Type 1.5	D000071698
Diabetes, Type 2	D003924
Diabetic Acidoses	D016883
Diabetic Acidosis	D016883
Diabetic Angiopathies	D003925
Diabetic Angiopathy	D003925
Diabetic Cardiomyopathies	D058065
Diabetic Cardiomyopathy	D058065
Diabetic Coma	D003926
Diabetic Comas	D003926
Diabetic Complication	D048909
Diabetic Complications	D048909
Diabetic Feet	D017719
Diabetic Foot	D017719
Diabetic Ketoacidoses	D016883
Diabetic Ketoacidosis	D016883
Diabetic Ketoses	D016883
Diabetic Ketosis	D016883
Diabetic Kidney Disease	D003928
Diabetic Kidney Diseases	D003928
Diabetic Nephropathies	D003928
Diabetic Nephropathy	D003928
Diabetic Neuropathies	D003929
Diabetic Neuropathy	D003929
Diabeticorum, Scleredema	D012592
Diabeticorums, Scleredema	D012592
Diabetic Retinopathies	D003930
Diabetic Retinopathy	D003930
Diabetic Vascular Complication	D003925
Diabetic Vascular Complications	D003925
Diabetic Vascular Disease	D003925
Diabetic Vascular Diseases	D003925
Dialyses, Retinal	D012167
Diamond Anemia, Blackfan	D029503
Diamond-Blackfan Anemia	D029503
Diamond Blackfan Anemia	D029503
Diamond-Blackfan Type Anemia	D029503
Diaper Rash	D003963
Diaper Rashes	D003963
Diaphragmatic Defect, Congenital	D065630
Diaphragmatic Defects, Congenital	D065630
Diaphragmatic Eventration	D003965
Diaphragmatic Hernia	D006548
Diaphragmatic Hernia, Congenital	D065630
Diaphragmatic Hernias	D006548
Diaphragmatic Hernias, Congenital	D065630
Diaphragmatic Hernias, Traumatic	D006549
Diaphragmatic Hernia, Traumatic	D006549
Diaphragmatic Myocardial Infarction	D056989
Diaphragmatic Myocardial Infarctions	D056989
Diaphragmatic Paralysis	D012133
Diaphragm Eventration	D003965
Diaphragm Unilateral Ageneses	D065630
Diaphragm Unilateral Agenesis	D065630
Diaphyseal Aclases	D005097
Diaphyseal Aclasis	D005097
Diaphyseal Dysplasia 1, Progressive	D003966
Diaphyseal Dysplasia, Progressive	D003966
Diaphyseal Dysplasias, Progressive	D003966
Diaphyseal Hyperostoses	D003966
Diaphyseal Hyperostosis	D003966
Diarrhea	D003967
Diarrhea, Infantile	D003968
Diarrheal Disease, Infectious	D004403
Diarrheas	D003967
Diarrheas, Infantile	D003968
Diarrheogenic Islet Cell Tumor	D003969
Diarrheogenic Tumor	D003969
Diarrheogenic Tumors	D003969
Diastases, Bone	D000070631
Diastases, Muscle	D000070630
Diastases, Pubic Symphysis	D046548
Diastases, Symphysis Pubis	D046548
Diastasis, Bone	D000070631
Diastasis, Muscle	D000070630
Diastasis, Pubic Symphysis	D046548
Diastasis Symphysis Pubis	D046548
Diastasis, Symphysis Pubis	D046548
Diastema	D003970
Diastemas	D003970
Diastemata	D003970
Diastolic Heart Failure	D054144
Diastolic Heart Failures	D054144
Diatheses	D004198
Diatheses, Hemorrhagic	D006474
Diathesis	D004198
Diathesis, Hemorrhagic	D006474
Dicrocoeliases	D004011
Dicrocoeliasis	D004011
Dictyocauliases	D004022
Dictyocauliasis	D004022
Dictyocaulus Infection	D004022
Dictyocaulus Infections	D004022
DIDMOAD	D014929
DIDMOAD Syndrome	D014929
DIDMOADUD	D014929
Dientamoebiases	D004030
Dientamoebiasis	D004030
Diffuse Angiokeratoma	D000795
Diffuse Axonal Brain Injury	D000070625
Diffuse Axonal Injuries	D020833
Diffuse Axonal Injury	D020833
Diffuse Brain Injuries	D000070625
Diffuse Brain Injury	D000070625
Diffuse Cerebral Injuries	D000070625
Diffuse Cerebral Injury	D000070625
Diffuse Cerebral Scleroses	D002549
Diffuse Cerebral Sclerosis	D002549
Diffuse Cerebral Sclerosis of Schilder	D002549
Diffuse Cutaneous Leishmaniases	D016774
Diffuse Cutaneous Leishmaniasis	D016774
Diffuse Cutaneous Systemic Sclerosis	D045743
Diffuse Esophageal Spasm	D015155
Diffuse Esophageal Spasms	D015155
Diffuse Globoid Body Sclerosis	D007965
Diffuse Histiocytic Lymphoma	D016403
Diffuse Histiocytic Lymphomas	D016403
Diffuse Idiopathic Skeletal Hyperostosis	D004057
Diffuse Immunoblastic Lymphosarcoma	D016400
Diffuse Immunoblastic Lymphosarcomas	D016400
Diffuse, Large B-Cell, Lymphoma	D016403
Diffuse Large-Cell Lymphoma	D016403
Diffuse Large Cell Lymphoma	D016403
Diffuse Large-Cell Lymphomas	D016403
Diffuse Lewy Body Disease	D020961
Diffuse Lymphocytic Lymphoma, Poorly-Differentiated	D020522
Diffuse Lymphocytic Lymphoma, Poorly Differentiated	D020522
Diffuse Myofascial Pain Syndrome	D005356
Diffuse Neurofibrillary Tangles with Calcification	D055956
Diffuse Parenchymal Lung Diseases	D017563
Diffuse Scleroderma	D045743
Diffuse Scleroses, Myelinoclastic	D002549
Diffuse Sclerosis, Myelinoclastic	D002549
Diffuse Small Cleaved-Cell Lymphoma	D008228
Diffuse Small Cleaved Cell Lymphoma	D008228
Diffuse Systemic Scleroses	D045743
Diffuse Systemic Sclerosis	D045743
Diffuse Tenosynovial Giant Cell Tumor	D013586
Diffuse Well-Differentiated Lymphocytic Lymphoma	D015451
Diffuse Well Differentiated Lymphocytic Lymphoma	D015451
DiGeorge Anomaly	D004062
DiGeorge Sequence	D004062
DiGeorge Syndrome	D004062
Digestive System Abnormalities	D004065
Digestive System Abnormality	D004065
Digestive System Disease	D004066
Digestive System Diseases	D004066
Digestive System Fistula	D016154
Digestive System Fistulas	D016154
Digestive System Neoplasm	D004067
Digestive System Neoplasms	D004067
Digital Dermatitides	D058066
Digital Dermatitides, Papillomatous	D058066
Digital Dermatitis	D058066
Digital Dermatitis, Papillomatous	D058066
Digital Papillomatoses	D058066
Digital Papillomatosis	D058066
Digitate Dermatoses	D010267
Digitate Dermatosis	D010267
Digits, Trigger	D052582
Digit, Trigger	D052582
Di Guglielmo Disease	D004915
Di Guglielmo's Disease	D004915
Di Guglielmos Disease	D004915
Dihydropyrimidine Dehydrogenase Deficiencies	D054067
Dihydropyrimidine Dehydrogenase Deficiency	D054067
Dilatation, Gastric	D013271
Dilatation, Pathologic	D004108
Dilatation, Pathological	D004108
Dilatations, Pathologic	D004108
Dilatations, Pathological	D004108
Dilatation, Stomach	D013271
Dilated Cardiomyopathies	D002311
Dilated Cardiomyopathy	D002311
Dilation, Gastric	D013271
Dilation, Stomach	D013271
Diminished Vision	D015354
Dimorphous Leprosies	D015439
Dimorphous Leprosy	D015439
DIMS (Disorders of Initiating and Maintaining Sleep)	D007319
Dipetalonema Infection	D004154
Dipetalonema Infections	D004154
Dipetalonemiases	D004154
Dipetalonemiasis	D004154
Diphtheria	D004165
Diphtheria, Fowl	D005586
Diphtherias, Fowl	D005586
Diphyllobothriases	D004169
Diphyllobothriasis	D004169
Diphyllobothrium Infection	D004169
Diphyllobothrium Infections	D004169
Diplopia	D004172
Diplopias	D004172
Dirofilariases	D004184
Dirofilariasis	D004184
Disabilities, Acquired Reading	D004411
Disabilities, Intellectual	D008607
Disability, Acquired Reading	D004411
Disability, Intellectual	D008607
Disappearing Bone Disease	D010015
Disarticulation Disorder	D001184
Disarticulation Disorders	D001184
Disbioses	D064806
Disbiosis	D064806
Disc Degeneration	D055959
Disc Degeneration, Intervertebral	D055959
Disc Degenerations	D055959
Disc Degenerations, Intervertebral	D055959
Disc Degradation	D055959
Disc Degradations	D055959
Disc Displacement, Intervertebral	D007405
Disc Displacements, Intervertebral	D007405
Discharges, Vaginal	D019522
Discharge, Vaginal	D019522
Disc, Herniated	D007405
Discitides	D015299
Discitis	D015299
Discoid Lupus Erythematosus	D008179
Discolorations, Tooth	D014075
Discoloration, Tooth	D014075
Disc, Prolapsed	D007405
Discrete Subaortic Stenoses	D021922
Discrete Subaortic Stenosis	D021922
Discs, Herniated	D007405
Disc, Slipped	D007405
Discs, Prolapsed	D007405
Discs, Slipped	D007405
Disease, Activator-Deficient Tay-Sachs	D049290
Disease, Acute	D000208
Disease, Adamantiades-Behcet	D001528
Disease, Addison	D000224
Disease, Adnexal	D000291
Disease, Adrenal Cortex	D000303
Disease, Adrenal Gland	D000307
Disease, Adult Refsum	D012035
Disease, Agricultural Worker	D000382
Disease, Agricultural Workers'	D000382
Disease, Agricultural Worker's	D000382
Disease, Albers-Schönberg	D010022
Disease, Albers-Schoenberg	D010022
Disease, Albers-Schonberg	D010022
Disease, Aleutian Mink	D000453
Disease, alpha-Chain	D007161
Disease, alpha-Fucosidase Deficiency	D005645
Disease, alpha-L-Fucosidase Deficiency	D005645
Disease, Andersen	D006011
Disease, Andersen's	D006011
Disease, Animal Parasitic	D010273
Disease, Antopol	D052120
Disease, Anus	D001004
Disease, Aortic	D001018
Disease, Ape	D018420
Disease, Arterial Obstructive	D001157
Disease, Arterial Occlusive	D001157
Disease, Asymptomatic	D058070
Disease Attribute	D020969
Disease Attributes	D020969
Disease, Autoimmune	D001327
Disease, Avian	D001715
Disease, Azorean	D017827
Disease, Azorean (Machado-Joseph)	D017827
Disease, Azorean Neurologic	D017827
Disease, Bacterial Skin	D017192
Disease, Bacterial Venereal	D015231
Disease, Bang	D002007
Disease, Bang's	D002007
Disease, Basedow	D006111
Disease, Basedow's	D006111
Disease, Bazin	D004891
Disease, Bazin's	D004891
Disease, Behçet	D001528
Disease, Best	D057826
Disease, Best's	D057826
Disease, Betalipoprotein Deficiency	D000012
Disease, Bile Duct	D001649
Disease, Biliary Tract	D001660
Disease, Bird	D001715
Disease, Blackfan-Diamond	D029503
Disease, Blood	D006402
Disease, Bone	D001847
Disease, Bone Marrow	D001855
Disease, Bourneville-Pringle	D014402
Disease, Bourneville-Pringle's	D014402
Disease, Bovine	D002418
Disease, Bowen	D001913
Disease, Bowen's	D001913
Disease, Breast	D001941
Disease, Brill-Symmers	D008224
Disease, Bronchial	D001982
Disease, Buerger	D013919
Disease, Buerger's	D013919
Disease, Buruli Ulcer	D054312
Disease, Cacchi Ricci	D007691
Disease, Caffey	D006958
Disease, Caisson	D003665
Disease, Canavan	D017825
Disease, Canavan-van Bogaert-Bertrand	D017825
Disease, Canine	D004283
Disease, Caprine	D015511
Disease, Cardiac	D006331
Disease, Cardiovascular	D002318
Disease, Caroli	D016767
Disease, Caroli's	D016767
Disease, Castlemans	D005871
Disease, Cat	D002371
Disease, Cat-Scratch	D002372
Disease, Catscratch	D002372
Disease, Cattle	D002418
Disease, Cecal	D002429
Disease, Celiac	D002446
Disease, Cerebellar	D002526
Disease, Cerebellum	D002526
Disease, Cerebral Arterial	D002539
Disease, Cerebral Artery	D002539
Disease, Cerebrovascular	D002561
Disease, Ceroid Storage	D009472
Disease, Cervix	D002577
Disease, Choroid	D015862
Disease, Choroidal	D015862
Disease, Christmas	D002836
Disease, Chronic	D002908
Disease, Classic Refsum	D012035
Disease, Coats	D058456
Disease, Cochlear	D015834
Disease, Collagen	D003095
Disease, Colonic	D003108
Disease, Communicable	D003141
Disease, Conjunctival	D003229
Disease, Connective Tissue	D003240
Disease, Copper Storage	D006527
Disease, Copper Transport	D007706
Disease, Cori	D006010
Disease, Cori's	D006010
Disease, Corneal	D003316
Disease, Coronary	D003327
Disease, Coronary Artery	D003324
Disease, Coronary Heart	D003327
Disease, Craniomandibular	D017271
Disease, Creutzfeldt Jacob	D007562
Disease, Creutzfeldt-Jakob	D007562
Disease, Cushing	D047748
Disease, Cystic Kidney	D052177
Disease, Cystic Renal	D052177
Disease, Cytomegalic Inclusion	D003586
Disease, Darier	D007644
Disease, Darier's	D007644
Disease, Darier-White	D007644
Disease, Deficiency	D003677
Disease, Degos	D054853
Disease, Dent	D057973
Disease, Dental Pulp	D003788
Disease, Dents	D057973
Disease, Dent's	D057973
Disease, De Quervain	D053684
Disease, Dercum	D000274
Disease, Dercum's	D000274
Disease, Devic	D009471
Disease, Devic's	D009471
Disease, Digestive System	D004066
Disease, Di Guglielmo	D004915
Disease, Di Guglielmo's	D004915
Disease, Dog	D004283
Disease, Duhring	D003874
Disease, Duhring's	D003874
Disease, Duodenal	D004378
Disease, Ear	D004427
Disease, Eczematous Skin	D017443
Disease, Ehlers Danlos	D004535
Disease, Ehlers-Danlos	D004535
Disease, Emerging Communicable	D021821
Disease, Emerging Infectious	D021821
Disease, Endocrine	D004700
Disease, Endocrine Bone	D001849
Disease, Endocrine System	D004700
Disease, End-Stage Kidney	D007676
Disease, End-Stage Renal	D007676
Disease, ENT	D010038
Disease, Equine	D006734
Disease, Esophageal	D004935
Disease, Eye	D005128
Disease, Eyelid	D005141
Disease, Facial Nerve	D005155
Disease, Fallopian Tube	D005184
Disease, Familial Caffey's	D006958
Disease, Familial Pick's	D057180
Disease, Farber's	D055577
Disease, Feline	D002371
Disease, Fetal	D005315
Disease, Fibrocystic Breast	D005348
Disease, Fish	D005393
Disease, Fong	D009261
Disease, Foodborne	D005517
Disease, Food-borne	D005517
Disease, Foot-and-Mouth	D005536
Disease, Forbes	D006010
Disease, Forestier	D004057
Disease, Forestier-Rotes	D004057
Disease, Forestier's	D004057
Disease, Fothergill	D014277
Disease, Fox-Fordyce	D005588
Disease, Friedreich	D005621
Disease, Friedreich's	D005621
Disease, Frommel	D002640
Disease, Frommel's	D002640
Disease, Fucosidase Deficiency	D005645
Disease, Functional Colonic	D003109
Disease, Fungal	D009181
Disease, Fungus	D009181
Disease, Galactosylceramidase Deficiency	D007965
Disease, Galactosylceramide-beta-Galactosidase Deficiency	D007965
Disease, Gallbladder	D005705
Disease, Gall Bladder	D005705
Disease, Gamstorp	D020513
Disease, Gastric	D013272
Disease, Gastrointestinal	D005767
Disease, Gaucher	D005776
Disease, Gauchers	D005776
Disease, Gaucher's	D005776
Disease, Genetic Skin	D012873
Disease, Gerstmann-Straussler	D016098
Disease, Gestational Trophoblastic	D031901
Disease, Gierke	D005953
Disease, Gierke's	D005953
Disease, Gilbert	D005878
Disease, Gilbert's	D005878
Disease, Gingival	D005882
Disease, Glucocerebrosidase Deficiency	D005776
Disease, Glycogen Storage	D006008
Disease, Goat	D015511
Disease, Gomm-Button	D016463
Disease, Gomm Button	D016463
Disease, Graefe	D017246
Disease, Graft-Versus-Host	D006086
Disease, Graft-vs-Host	D006086
Disease, Graves	D006111
Disease, Graves'	D006111
Disease, Greasy Pig	D004818
Disease, Guinea Worm	D004320
Disease, Hamman-Rich	D054990
Disease, Hammond	D001264
Disease, Hammond's	D001264
Disease, Hand-Schüller-Christian	D006646
Disease, Hand-Schueller-Christian	D006646
Disease, Hansen	D007918
Disease, Hansen's	D007918
Disease, Hashimoto	D050031
Disease, Hashimoto's	D050031
Disease, Heart	D006331
Disease, Heart Valve	D006349
Disease, Heartwater	D006357
Disease, Heartworm	D004184
Disease, Heck	D017573
Disease, Heck's	D017573
Disease, Hematologic	D006402
Disease, Hematological	D006402
Disease, Hemoglobin H	D017085
Disease, Hemoglobin S	D000755
Disease, Hemoglobin SC	D006450
Disease, Hepatic Veno-Occlusive	D006504
Disease, Hereditary Autoinflammation	D056660
Disease, Hereditary Autoinflammatory	D056660
Disease, Hereditary Eye	D015785
Disease, Hereditary Neurodegenerative	D020271
Disease, Hers'	D006013
Disease, Hers	D006013
Disease, Hirschsprung	D006627
Disease, Hirschsprung's	D006627
Disease, Hodgkin	D006689
Disease, Hodgkin's	D006689
Disease, Hodgkins	D006689
Disease, Homologous Wasting	D006086
Disease, Horse	D006734
Disease, Hurst	D004684
Disease, Hurst's	D004684
Disease, Hyaline Membrane	D006819
Disease, Hypothalamic	D007027
Disease, Iatrogenic	D007049
Disease, Ileal	D007077
Disease, Immune	D007154
